i,j,a_ij,b_ij,distance,x_ij
1,1,0.0008726651460454,43.63325730227071,43.63325730227071,2.893633098513751e-06
1,4,0.0009050233876115,45.2511693805796,45.2511693805796,0.0
1,9,0.0005732754757224,28.663773786121915,28.663773786121915,0.0
1,10,4.745062985007474e-05,2.372531492503737,2.372531492503737,0.0
1,19,0.0007051803777588,35.259018887941394,35.259018887941394,0.0
1,20,0.0005224850475419,26.124252377096745,26.124252377096745,0.0
1,21,0.0006369603263413,31.84801631706725,31.84801631706725,3.8138369366559507e-06
1,22,0.0009782647880879,48.91323940439656,48.91323940439656,0.0
1,23,0.0006135736202472,30.67868101236168,30.67868101236168,0.0
1,25,0.0009815711354717,49.078556773588296,49.078556773588296,0.0
1,33,0.0006264799835029,31.32399917514544,31.32399917514544,3.690936422152469e-06
1,36,0.0005729540199638,28.647700998194928,28.647700998194928,0.0
1,39,0.0007109607292186,35.54803646093448,35.54803646093448,2.8919994956383426e-06
1,42,0.0004384150735152,21.920753675761294,21.920753675761294,0.0
1,44,0.0007926095855384,39.6304792769207,39.6304792769207,0.0
1,46,0.0006239575815266,31.19787907633106,31.19787907633106,0.0
1,49,0.0004201036746208,21.005183731041445,21.005183731041445,0.0
1,50,0.0005864347863892,29.32173931946456,29.32173931946456,2.9223656843713136e-06
1,51,0.0009515551835058,47.57775917529354,47.57775917529354,3.5052730033898975e-06
1,58,0.0005805207631442,29.02603815721153,29.02603815721153,0.0
1,63,0.0007195624531023,35.97812265511721,35.97812265511721,0.0
1,64,0.0001119246503822,5.596232519114902,5.596232519114902,18.194422152771498
1,68,0.0008881709543222,44.40854771611325,44.40854771611325,0.0
1,71,0.0004873275270562,24.36637635281294,24.36637635281294,28.226169588159067
1,72,0.0009837197844406,49.18598922203461,49.18598922203461,0.0
1,74,0.0008139011492896,40.6950574644827,40.6950574644827,2.6446453050655264e-07
1,76,0.0009139758208541,45.69879104270735,45.69879104270735,1.9739686772061727e-07
1,77,0.0009879114332802,49.39557166401068,49.39557166401068,0.0
1,78,0.0009391351714264,46.95675857132331,46.95675857132331,0.0
1,80,0.0007244556459183,36.22278229591844,36.22278229591844,0.0
1,84,0.0008362114516926,41.81057258463106,41.81057258463106,0.0
1,85,0.0007409673884845,37.048369424225136,37.048369424225136,9.499466642925281e-06
1,88,0.0009896132437418,49.48066218709215,49.48066218709215,0.0
1,92,0.0007091816926673,35.45908463336864,35.45908463336864,0.0
1,93,0.000704897621827,35.24488109135051,35.24488109135051,31.014169734053123
1,97,0.0006987864991674,34.93932495837268,34.93932495837268,0.0
1,101,0.0005874258435915,29.37129217957864,29.37129217957864,0.0
1,104,0.0007674625321935,38.37312660967814,38.37312660967814,7.558204866681136e-07
1,106,0.0003875197586845,19.37598793422564,19.37598793422564,0.0
1,111,0.0009827861832972,49.13930916486314,49.13930916486314,0.0
1,113,0.0006714412583018,33.572062915091884,33.572062915091884,4.843138340562244e-06
1,115,0.0006497087975698,32.485439878490084,32.485439878490084,5.566463523833644e-06
1,116,0.0003188430146668,15.9421507333402,15.9421507333402,0.0
1,118,0.0008658970356211,43.29485178105914,43.29485178105914,0.0
1,121,0.0006154561599714,30.77280799857036,30.77280799857036,0.0
1,122,0.0008273133058087,41.36566529043801,41.36566529043801,0.0
1,127,0.0007749109398954,38.74554699477031,38.74554699477031,0.0
1,131,0.000721755299599,36.08776497995496,36.08776497995496,0.0
1,132,0.0005294721199317,26.473605996586056,26.473605996586056,3.817177041179051
1,133,0.0007788715294982,38.94357647491371,38.94357647491371,0.0
1,135,0.0008053159858637,40.26579929318673,40.26579929318673,0.0
1,137,0.00034863918169,17.431959084502207,17.431959084502207,0.0
1,138,7.839484213026958e-05,3.919742106513479,3.919742106513479,0.0
1,140,0.0008487831619294,42.439158096471104,42.439158096471104,0.0
1,141,0.0005513122570531,27.565612852656383,27.565612852656383,0.0
1,142,0.0003606963021889,18.034815109448765,18.034815109448765,0.0
1,143,0.0001551163642329,7.7558182116495376,7.7558182116495376,0.0
1,146,0.0001104606677268,5.523033386340724,5.523033386340724,0.0
1,150,0.0007159043416199,35.79521708099546,35.79521708099546,0.0
2,1,0.0006137048508207,30.6852425410364,30.6852425410364,2.513217419734207e-07
2,4,0.0005516570212953,27.582851064765208,27.582851064765208,0.0
2,6,0.0009813314122789,49.06657061394742,49.06657061394742,0.0
2,8,0.0006938622916038,34.69311458019211,34.69311458019211,0.0
2,9,0.0004747494681082,23.73747340541028,23.73747340541028,0.0
